ID,LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,SCHEDULED_RUN_TIME,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,DATE_STORED,PCNAME,SIGN_ON_DATE,OPERATING_COST_PER_HOUR,RECOVERY_PROCESSING_ID,AGGREGATE_ID,COUNTY,TYPE
1,553,5,4 - PM Peak,Outbound,26,55.80,40.54,73,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4718,Cumberland,Commuter
2,553,5,5 - Evening,Inbound,71,152.38,10.42,7,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4719,Cumberland,Commuter
3,553,5,5 - Evening,Outbound,22,47.21,20.20,43,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4720,Cumberland,Commuter
4,553,6,1 - Early AM,Inbound,20,42.92,11.68,27,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4721,Cumberland,Commuter
5,553,6,1 - Early AM,Outbound,16,34.34,3.56,10,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4722,Cumberland,Commuter
6,553,6,2 - AM Peak,Inbound,20,42.92,28.08,65,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4723,Cumberland,Commuter
7,553,6,2 - AM Peak,Outbound,10,21.46,19.93,93,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4724,Cumberland,Commuter
8,553,6,3 - Mid Day,Inbound,55,118.04,70.14,59,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4725,Cumberland,Commuter
9,553,6,3 - Mid Day,Outbound,50,107.31,27.91,26,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4726,Cumberland,Commuter
10,553,6,4 - PM Peak,Inbound,25,53.65,26.62,50,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4727,Cumberland,Commuter
11,553,6,4 - PM Peak,Outbound,17,36.48,22.06,60,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4728,Cumberland,Commuter
12,553,6,5 - Evening,Inbound,25,53.65,16.89,31,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4729,Cumberland,Commuter
13,553,6,5 - Evening,Outbound,14,30.04,14.05,47,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4730,Cumberland,Commuter
14,553,7,1 - Early AM,Inbound,65,139.51,23.08,17,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4731,Cumberland,Commuter
15,553,7,1 - Early AM,Outbound,38,81.55,17.49,21,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4732,Cumberland,Commuter
16,553,7,2 - AM Peak,Inbound,85,182.43,84.16,46,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4733,Cumberland,Commuter
17,553,7,2 - AM Peak,Outbound,51,109.46,24.07,22,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4734,Cumberland,Commuter
18,553,7,3 - Mid Day,Inbound,240,515.11,231.36,45,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4735,Cumberland,Commuter
19,553,7,3 - Mid Day,Outbound,167,358.43,105.55,29,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337,4736,Cumberland,Commuter
